record_id,title,authors,year,publication_date,updated_date,doi,arxiv_id,publisher,venue,document_type,abstract,url,pdf_url,all_sources,all_query_ids,legacy_notebook_source,legacy_notebook_relevance_score,new_relevance_score,automated_topic_class,screening_decision,screening_category,review_scope_group,count_as_quantum_diffusion_model,recommended_use_in_manuscript,inclusion_justification_pt,exclusion_reason_code,screening_basis,screening_confidence,manual_verification_required,duplicate_group_id,preprint_publication_link,notes,abstract_source,abstract_available,contains_quantum_term,contains_diffusion_model_term,contains_generative_term,contains_quantum_computing_context,contains_physical_diffusion_only,contains_schrodinger_only,contains_score_matching_in_unrelated_context,crossref_query_match_quality
2026-07-09T184559Z_780688a_R005332,RQ-QGAN: recurrent quantum generative adversarial network with QLSTM-inspired hidden states,Han Qi; Yihan Xu; Hao Wang; Abdullah Gani; Lip Yee Por,2026,2026-06-03,2026-06-03,10.1007/s11227-026-08600-8,,Springer Science and Business Media LLC,The Journal of Supercomputing,journal-article,,https://doi.org/10.1007/s11227-026-08600-8,,Springer,Q08,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'RQ-QGAN: recurrent quantum generative adversarial network with QLSTM-inspired hidden states' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D03546,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R007379,Quantum Generative Models for Image Generation: Insights from MNIST and MedMNIST,Chi-Sheng Chen; Wei An Hou; Hsiang-Wei Hu; Zhen-Sheng Cai,2025,2025-03-30T06:36:22Z,2025-04-03T17:40:26Z,,2504.00034,arXiv,,preprint,"Quantum generative models offer a promising new direction in machine learning by leveraging quantum circuits to enhance data generation capabilities. In this study, we propose a hybrid quantum-classical image generation framework that integrates variational quantum circuits into a diffusion-based model. To improve training dynamics and generation quality, we introduce two novel noise strategies: intrinsic quantum-generated noise and a tailored noise scheduling mechanism. Our method is built upon a lightweight U-Net architecture, with the quantum layer embedded in the bottleneck module to isolate its effect. We evaluate our model on MNIST and MedMNIST datasets to examine its feasibility and performance. Notably, our results reveal that under limited data conditions (fewer than 100 training images), the quantum-enhanced model generates images with higher perceptual quality and distributional similarity than its classical counterpart using the same architecture. While the quantum model shows advantages on grayscale data such as MNIST, its performance is more nuanced on complex, color-rich datasets like PathMNIST. These findings highlight both the potential and current limitations of quantum generative models and lay the groundwork for future developments in low-resource and biomedical image generation.",https://arxiv.org/abs/2504.00034v2,https://arxiv.org/pdf/2504.00034v2,Legacy arXiv notebook; arXiv,LEGACY; Q08; Q09,True,22.0,22.0,quantum circuit / QNN generative model,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Quantum Generative Models for Image Generation: Insights from MNIST and MedMNIST' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+abstract+metadata,0.7,False,D00036,False,,arXiv,True,True,False,True,True,False,False,False,medium
2026-07-09T184559Z_780688a_R007387,A purely Quantum Generative Modeling through Unitary Scrambling and Collapse,Yihua Li; Jiayi Chen; Tamanna S. Kumavat; Kyriakos Flouris,2025,2025-06-12T11:00:21Z,2025-10-03T12:50:19Z,,2506.10571,arXiv,,preprint,"Quantum computing offers fundamentally more expressive mechanisms for generative modeling, yet current approaches remain constrained by classical neural components that bottleneck quantum capability and hardware efficiency. We propose the Quantum Scrambling and Collapse Generative Model (QGen), a purely quantum paradigm that eliminates classical dependencies. QGen implements two coherent processes: scrambling, which interleaves Gaussian diffusion channels with unitary delocalization to disperse information globally while avoiding collapse into uninformative states; and collapse, where parameterized quantum circuits refocus scrambled distributions into structured outputs, achieving distributional reconstruction under coherent evolution. To enable scalability, we introduce a measurement-based training principle that decomposes learning into tractable subproblems, mitigating barren plateaus. Empirically, QGen outperforms classical and hybrid baselines under matched parameter budget, while maintaining robustness under finite-shot sampling, demonstrating strong feasibility for near-term hardware.",https://arxiv.org/abs/2506.10571v2,https://arxiv.org/pdf/2506.10571v2,Legacy arXiv notebook; arXiv,LEGACY; Q08; Q09,True,19.0,19.0,quantum circuit / QNN generative model,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'A purely Quantum Generative Modeling through Unitary Scrambling and Collapse' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+abstract+metadata,0.7,False,D00035,False,,arXiv,True,True,False,True,True,False,False,False,medium
2026-07-09T184559Z_780688a_R007406,Stochastic Schrödinger Equations for Quantum Reverse Diffusion,Einar Gabbassov,2025,2025-11-19T22:57:38Z,2026-06-03T03:52:59Z,10.1103/f7fd-2rb9,2511.15919,arXiv,"Phys. Rev. Research 8, 023329 (2026)",preprint,"The ensemble-averaged dynamics of open quantum systems are typically irreversible. We show that this irreversibility need not hold at the level of individually monitored quantum trajectories. Our main results are analytical stochastic Schrödinger equations for quantum reverse diffusion, along with corresponding stochastic master equations. These equations describe the exact and approximate stochastic reverse processes for continuously monitored Pauli channels, including time-dependent depolarizing noise. We show that the reverse processes generalize the forward dynamics by combining the noise effects of the forward processes with an additional stochastic drift that dynamically steers a quantum state back to its initial configuration. Consequently, the exact reverse stochastic Schrödinger equations admit closed-form solutions that can be implemented in real-time without the need for variational techniques. Our findings establish an analytical framework for quantum state recovery, noise-resilient quantum gates, quantum generative modelling, quantum tomography via forward-reverse cycles, and potential paradigms for quantum error correction based on reverse diffusion.",https://arxiv.org/abs/2511.15919v5,https://arxiv.org/pdf/2511.15919v5,Legacy arXiv notebook; arXiv,LEGACY; Q08; Q09,True,14.0,14.0,quantum generative model,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Stochastic Schrödinger Equations for Quantum Reverse Diffusion' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+abstract+metadata,0.7,False,D00034,False,,arXiv,True,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R001161,A Unified Latent Schrödinger Bridge Diffusion Model for Unsupervised Anomaly Detection and Localization,Shilhora Akshay; Niveditha Lakshmi Narasimhan; Jacob George; Vineeth N Balasubramanian,2025,2025-06-10,2025-08-15,10.1109/cvpr52734.2025.02377,,IEEE,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),proceedings-article,,https://doi.org/10.1109/cvpr52734.2025.02377,,IEEE,Q06; Q17; Q18,False,,13.0,,INCLUDE,BACKGROUND,G6 - Theoretical quantum-diffusion connection,NO,Background for mathematical links between diffusion and quantum mechanics,O trabalho 'A Unified Latent Schrödinger Bridge Diffusion Model for Unsupervised Anomaly Detection and Localization' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D00766,False,,not_available,False,False,True,False,False,False,False,False,low
2026-07-09T184559Z_780688a_R001886,DisQu: Investigating the Impact of Disorder in Quantum Generative Models,Yannick Werner; Jasmin Frkatovic; Vitor Fortes Rey; Matthias Tschöpe; Sungho Suh; Paul Lukowicz; Nikolaos Palaiodimopoulos; Maximilian Kiefer-Emmanouilidis,2025,2025-06-30,2025-11-15,10.1109/ijcnn64981.2025.11227841,,IEEE,2025 International Joint Conference on Neural Networks (IJCNN),proceedings-article,,https://doi.org/10.1109/ijcnn64981.2025.11227841,,IEEE,Q09,False,,13.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'DisQu: Investigating the Impact of Disorder in Quantum Generative Models' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01234,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R005264,Quantum generative adversarial network for image generation,Mohammadsaleh Pajuhanfard; Ziwen Pan; Victor S. Sheng,2025,2025-09-01,2025-08-08,10.1007/s00371-025-03915-8,,Springer Science and Business Media LLC,The Visual Computer,journal-article,"<jats:title>Abstract</jats:title> <jats:p>Quantum machine learning as a field has emerged rather quickly thanks to developments in quantum computing. Of these developments, the one of primary interest is the Quantum Generative Adversarial Network or QGAN which is an enhancement of the familiar GAN to use quantum computation necessary for producing synthetic images. To sum up, based on different types of experiments, QGANs outperformed classical GANs, especially in cases with images such as MNIST and Fashion MNIST datasets. Nevertheless, their capabilities are not fully comprehensible due to existing constraints in quantum systems technology, especially in the NISQ era. In this regard, the current study undertakes a proposed research direction that focuses on improving the resolution of grayscale images that have been produced from the “optdigits” dataset, which contains handwritten digit images. Our work then contrasts this with prior work in terms of FID scores, loss function values, runtime, and the resolution of the images. Further, we extend the work by carrying out the proposed methodology on the FMNIST dataset and provide results to corroborate the efficacy of the proposed technique, besides enabling comparison on the same platform with prior works.</jats:p>",https://doi.org/10.1007/s00371-025-03915-8,,Springer,Q08,False,,13.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Quantum generative adversarial network for image generation' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+abstract+metadata,0.7,False,D03513,False,,Crossref,True,True,False,True,True,False,False,False,medium
2026-07-09T184559Z_780688a_R000406,Hybrid Quantum Generative Adversarial Networks: A Technical Review of Implicit Quantum Models and Hybrid Optimization,Wael Badawy,2025,2025-12-14,2026-02-10,10.1109/icm66518.2025.11322465,,IEEE,2025 37th International Conference on Microelectronics (ICM),proceedings-article,,https://doi.org/10.1109/icm66518.2025.11322465,,IEEE,Q02; Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Hybrid Quantum Generative Adversarial Networks: A Technical Review of Implicit Quantum Models and Hybrid Optimization' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D00261,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R005177,QuanFlex-GAN: a flexible algorithm for image generation via quantum generative modeling,Xiaoping Lou; Linghui Wang,2025,2025-12-01,2026-01-29,10.1007/s42484-025-00316-x,,Springer Science and Business Media LLC,Quantum Machine Intelligence,journal-article,,https://doi.org/10.1007/s42484-025-00316-x,,Springer,Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'QuanFlex-GAN: a flexible algorithm for image generation via quantum generative modeling' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D03457,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R001625,Quantum Generative Adversarial Networks for Intrusion Detection: An Experimentation on Real Quantum Devices,Franco Cirillo; Christian Esposito,2025,2025-11-02,2026-01-24,10.1109/qai63978.2025.00065,,IEEE,2025 IEEE International Conference on Quantum Artificial Intelligence (QAI),proceedings-article,,https://doi.org/10.1109/qai63978.2025.00065,,IEEE,Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Quantum Generative Adversarial Networks for Intrusion Detection: An Experimentation on Real Quantum Devices' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01049,False,,not_available,False,True,False,True,False,False,False,False,medium
